,tweet_text,directed_at,sentiment,company,target,clean_tweet,hashtags,mentions
2348,"@mention Check out a bunch of #free #atx on the @mention Unofficial #SXSW events list, here or for iPhone/Android: {link}",Unknown,No emotion toward brand or product,Unknown,neutral,check out a bunch of on the unofficial events list here or for iphone android link,#free #atx #sxsw,@mention @mention
2349,"@mention check out GoogleTV to iPad Apps: The Connected TV Experience
{link} #SXSW #ConnectedTV",Unknown,No emotion toward brand or product,Unknown,neutral,check out googletv to ipad apps the connected tv experience link,#sxsw #connectedtv,@mention
2350,@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way,Android App,Positive emotion,Google,positive,check out our app launching at keep updated on parties android link iphone app on its way,#eventseekr #sxsw,@mention
2351,"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app",Android App,Positive emotion,Google,positive,check out smyle for and the web has group chat shared location and media and whiteboarding thanks,#android #sxsw #app,@mention
2352,About to check out &quot;mistakes I made building Netflix for iPhone.&quot; this is going to be cool -you should always learn from mistakes. #sxsw,iPad or iPhone App,Positive emotion,Apple,positive,about to check out quot mistakes i made building netflix for iphone quot this is going to be cool you should always learn from mistakes,#sxsw,
2353,@mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW,iPad,Positive emotion,Apple,positive,check the latest stream at apple's store at link ipad2 here i come,#sxsw #playsxsw,@mention
2354,@mention Check the latest stream at Apple's store at #SXSW {link} . iPad2 wait for me  #PLAYSXSW,iPad,Positive emotion,Apple,positive,check the latest stream at apple's store at link ipad2 wait for me,#sxsw #playsxsw,@mention
2355,@mention check the photo feed from Apple store #SXSW  {link} thanks to @mention @mention @mention.,Unknown,No emotion toward brand or product,Unknown,neutral,check the photo feed from apple store link thanks to,#sxsw,@mention @mention @mention @mention
2356,"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Apple,Negative emotion,Apple,negative,just launched the pop up apple store at it's our quot vintage quot store format mostly ipods and snarky employees ah the good old days,#sxsw,
2357,#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google {link},Google,Positive emotion,Google,positive,panel at getting off to a great start with a video on the surui carbon project by google link,#saveustechies #sxsw,
2358,Apple's Schiller: White iPhone will debut in spring: Don't they also try to sell you faster speed cable? #SXSW m... {link},Unknown,No emotion toward brand or product,Unknown,neutral,apple's schiller white iphone will debut in spring don't they also try to sell you faster speed cable m link,#sxsw,
2359,"Best tsotchke at #SxSW so farÛÓmy iPhone was almost out of power and PowerMat gave me a free, fully charged battery: {link}",Unknown,No emotion toward brand or product,Unknown,neutral,best tsotchke at so far my iphone was almost out of power and powermat gave me a free fully charged battery link,#sxsw,
2360,"Stupid technology! You always fail at important times! At #SXSW w/ an iPhone, laptop AND Blackberry and the only thing working is my pen.",iPhone,Negative emotion,Apple,negative,stupid technology you always fail at important times at w an iphone laptop and blackberry and the only thing working is my pen,#sxsw,
2361,congrats chris! RT @mention #SXSW Interactive Award: Music Category to &quot;Wilderness Downtown&quot; @mention @mention @mentione,Unknown,No emotion toward brand or product,Unknown,neutral,congrats chris rt interactive award music category to quot wilderness downtown quot,#sxsw,@mention @mention @mention @mentione
2362,"Anna's Social Media Picks of the Week (03/11/11) {link} covering social media and Japan, The iPad 2, #SXSW and more...",Unknown,No emotion toward brand or product,Unknown,neutral,anna's social media picks of the week 03 11 11 link covering social media and japan the ipad 2 and more,#sxsw,
2363,Google Social Media RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link},Unknown,No emotion toward brand or product,Unknown,neutral,google social media rt we interrupt your regularly scheduled geek programming with big news link,#sxsw,@mention
2364,Google Social Network: Circles   coming today at #sxsw? {link},Unknown,No emotion toward brand or product,Unknown,neutral,google social network circles coming today at link,#sxsw,
2365,It's official: everyone at #sxsw uses an iphone.,Unknown,No emotion toward brand or product,Unknown,neutral,it's official everyone at uses an iphone,#sxsw,
2366,It's official: people using the iPad 2 to take photos just look weird. #SXSW,iPad,Negative emotion,Apple,negative,it's official people using the ipad 2 to take photos just look weird,#sxsw,
2367,It's official: We'll be presenting #Filmaster for #iPhone in the contest of world's best mobile apps at #SXSW !!! {link},iPad or iPhone App,Positive emotion,Apple,positive,it's official we'll be presenting for in the contest of world's best mobile apps at link,#filmaster #iphone #sxsw,
2368,It's Official! An Apple Store has popped up at #SXSW  {link},Unknown,No emotion toward brand or product,Unknown,neutral,it's official an apple store has popped up at link,#sxsw,
2369,It's official! I'm buying an iPad. #SXSW #elevate,iPad,Positive emotion,Apple,positive,it's official i'm buying an ipad,#sxsw #elevate,
2370,#google #circles #sxsw #shice /via @mention {link},Unknown,No emotion toward brand or product,Unknown,neutral,via link,#google #circles #sxsw #shice,@mention
2371,#Google #Circles reveal at that joint session with ACLU tonight? This video doesn't make me think so. {link} #sxsw @mention,Unknown,No emotion toward brand or product,Unknown,neutral,reveal at that joint session with aclu tonight this video doesn't make me think so link,#google #circles #sxsw,@mention
2372,#Google #Circles.. Google's latest Social venture Google Circles reportedly won't be launched at #SXSW today - {link},Unknown,No emotion toward brand or product,Unknown,neutral,google's latest social venture google circles reportedly won't be launched at today link,#google #circles #sxsw,
2373,&quot;Narcissism &amp; challenge of FB Pages&quot; {link} coupled w/ &quot;Google's Spam Problem&quot; {link} explain Circles &quot;a bit&quot;. #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,quot narcissism amp challenge of fb pages quot link coupled w quot google's spam problem quot link explain circles quot a bit quot,#sxsw,
2374,Pretty excited about the Apple Pop Up Store coming to #SXSW {link},Apple,Positive emotion,Apple,positive,pretty excited about the apple pop up store coming to link,#sxsw,
2375,Pretty excited for @mention iPad session #uxdes #sxsw,iPad,Positive emotion,Apple,positive,pretty excited for ipad session,#uxdes #sxsw,@mention
2376,Pretty excited for my iPhone to stop working #sxsw #AT&amp;T,iPhone,Negative emotion,Apple,negative,pretty excited for my iphone to stop working amp t,#sxsw #at,
2377,really excited for my first panel!  #tapworthy iPad Design Headaches  Should be awesome.  the book is!  #sxsw #gsdm,Unknown,No emotion toward brand or product,Unknown,neutral,really excited for my first panel ipad design headaches should be awesome the book is,#tapworthy #sxsw #gsdm,
2378,"Really excited to see the documentary Something Ventured at #sxsw today. About the rise of Intel, Apple, Genentech, Cisco, &amp; Atari.",Unknown,No emotion toward brand or product,Unknown,neutral,really excited to see the documentary something ventured at today about the rise of intel apple genentech cisco amp atari,#sxsw,
2379,We are excited to see HLS Dynamic Video Ad Insertion for TV Everywhere working on the #iPad2 later today at the #SXSW PopUp Apple Store,iPad,Positive emotion,Apple,positive,we are excited to see hls dynamic video ad insertion for tv everywhere working on the later today at the popup apple store,#ipad2 #sxsw,
2380,FedEx truck unloading outside Apple popup store. #sxsw #ipad2,Unknown,No emotion toward brand or product,Unknown,neutral,fedex truck unloading outside apple popup store,#sxsw #ipad2,
2381,#iPad2 rocks #SXSW (@mention Apple POP UP Store) {link},iPad,Positive emotion,Apple,positive,rocks apple pop up store link,#ipad2 #sxsw,@mention
2382,FedEx Trucks keep arriving as TV crews interview people in line for first iPad2 at #SXSW PopUp Apple Store.  {link},Unknown,No emotion toward brand or product,Unknown,neutral,fedex trucks keep arriving as tv crews interview people in line for first ipad2 at popup apple store link,#sxsw,
2383,"#SXSW #Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #seo #sem #cloudcomputing #topnews",Unknown,No emotion toward brand or product,Unknown,neutral,startup program cloud 2 0 ipad app launched link,#sxsw #rackspace #seo #sem #cloudcomputing #topnews,
2384,"SXSW ÛÒ Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #Rackspace #sxsw #Top_News",Unknown,No emotion toward brand or product,Unknown,neutral,sxsw rackspace startup program cloud 2 0 ipad app launched link,#rackspace #sxsw #top_news,
2385,"This is ackward. Sitting in the back of Ballroom F at the ACC, looking to my left and right: I'm the only non-Macbook / iPad here. Oh. #sxsw",Unknown,No emotion toward brand or product,Unknown,neutral,this is ackward sitting in the back of ballroom f at the acc looking to my left and right i'm the only non macbook ipad here oh,#sxsw,
2386,Theres a class war forming here at #sxsw. iPad 2 owners vs. first gen owners.,Unknown,No emotion toward brand or product,Unknown,neutral,theres a class war forming here at ipad 2 owners vs first gen owners,#sxsw,
2387,"Time for coffee, muffins and news reading with leNewz at #SXSW trade show (booth #1422 just behind Google's)",Unknown,No emotion toward brand or product,Unknown,neutral,time for coffee muffins and news reading with lenewz at trade show booth just behind google's,#sxsw #1422,
2388,@mention come by tomorrow to get your iPhone case! #zazzlesxsw #Sxsw #Zazzle #sxswi {link},Unknown,No emotion toward brand or product,Unknown,neutral,come by tomorrow to get your iphone case link,#zazzlesxsw #sxsw #zazzle #sxswi,@mention
2389,"After... Come visit Milyoni we are at Booth, 1223 right under the big Google sign at #SXSW {link}",Unknown,No emotion toward brand or product,Unknown,neutral,after come visit milyoni we are at booth 1223 right under the big google sign at link,#sxsw,
2390,My first computer as a kid was an Atari 800; my kids first computer will be an iPad.  What will they be able to do that I couldn't? #sxsw,iPad,Positive emotion,Apple,positive,my first computer as a kid was an atari 800 my kids first computer will be an ipad what will they be able to do that i couldn't,#sxsw,
2391,.crowdbeacon has put together a guide to #sxsw at {link} The latest update to their iPhone app is going to be sick.,iPad or iPhone App,Positive emotion,Apple,positive,crowdbeacon has put together a guide to at link the latest update to their iphone app is going to be sick,#sxsw,
2392,"On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,Apple,positive,on its second day in business the apple pop up store appears to be trending apple store sxsw pic link,#sxsw #vb,@mention
2393,At #SXSW conf and 1 out of every 200 people have a Mac or Ipad (including me).  What happened to the PC? Is it becoming obsolete?,Unknown,No emotion toward brand or product,Unknown,neutral,at conf and 1 out of every 200 people have a mac or ipad including me what happened to the pc is it becoming obsolete,#sxsw,
2394,At #SXSW conf and EVERYONE has a Mac or Ipad (including me). What happened to the PC? Is it becoming obsolete?,iPad,Positive emotion,Apple,positive,at conf and everyone has a mac or ipad including me what happened to the pc is it becoming obsolete,#sxsw,
2395,@mention congrats on the first iPad 2 at #sxsw,iPad,Positive emotion,Apple,positive,congrats on the first ipad 2 at,#sxsw,@mention
2396,@mention Congrats on your iPhone app being featured at #SXSW!,iPad or iPhone App,Positive emotion,Apple,positive,congrats on your iphone app being featured at,#sxsw,@mention
2397,@mention Congratulations on winning the Android award! :) #sxsw,Android,Positive emotion,Google,positive,congratulations on winning the android award,#sxsw,@mention
2398,"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!",Android App,Positive emotion,Google,positive,congratulations sent from seesmic on my android phone at,#sxsw,@mention
2399,Apple on Congress. Nice. RT @mention Apple set to open popup shop in core of SXSW action {link} #SXSW #Apple,Unknown,No emotion toward brand or product,Unknown,neutral,apple on congress nice rt apple set to open popup shop in core of sxsw action link,#sxsw #apple,@mention
2400,Egyptian content flood. &quot;Google had to put up two more servers after web came back up.&quot; #SxSW #sxswsa,Unknown,No emotion toward brand or product,Unknown,neutral,egyptian content flood quot google had to put up two more servers after web came back up quot,#sxsw #sxswsa,
2401,iPad app content needs to be shallow but engaging #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,ipad app content needs to be shallow but engaging,#sxsw,
2402,Trying 2 convince @mention 2 watch the launch of google Social network at #SXSW . I didn't know there was going to be comedy?!,Other Google product or service,Negative emotion,Google,negative,trying 2 convince 2 watch the launch of google social network at i didn't know there was going to be comedy,#sxsw,@mention
2403,"@mention Cool! That means we can watch Ustream in Skyfire browser on iPhone :-)
(Safari doesn't work) 
Have fun!  #sxsw",iPhone,Positive emotion,Apple,positive,cool that means we can watch ustream in skyfire browser on iphone safari doesn't work have fun,#sxsw,@mention
2404,"Could be cool. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,Positive emotion,Google,positive,could be cool rt google to launch major new social network called circles possibly today link,#sxsw,@mention
2405,"Eating a coolhaus ice cream sandwich at the Google party. Hmmm, happy. #sxsw",Google,Positive emotion,Google,positive,eating a coolhaus ice cream sandwich at the google party hmmm happy,#sxsw,
2406,I really could use one of those tiny MacBook Airs. Did I read that Apple set up a temporary store at SXSW? Where is it? #SXSW,Apple,Positive emotion,Apple,positive,i really could use one of those tiny macbook airs did i read that apple set up a temporary store at sxsw where is it,#sxsw,
2407,It's the couple from that Evo vs. iPhone video! #sxsw {link},Unknown,No emotion toward brand or product,Unknown,neutral,it's the couple from that evo vs iphone video link,#sxsw,
2408,I have a couple of iPad paintings being exhibited for #sxsw at the Austin Details Gallery. Show opens this Friday - {link},Unknown,No emotion toward brand or product,Unknown,neutral,i have a couple of ipad paintings being exhibited for at the austin details gallery show opens this friday link,#sxsw,
2409,"Google recreated the code for Pac-Man for their doodle, original bugs included. #sxsw #googledoodles",Google,No emotion toward brand or product,Google,neutral,google recreated the code for pac man for their doodle original bugs included,#sxsw #googledoodles,
2410,@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw,Android,Positive emotion,Google,positive,crew ripped up android party thanks for having us droid link,#sxsw,@mention
2411,#Want: Micro USB charger for Samsung Android or Kindle at #SXSW starting 3/11. Will pay $10 for 7 days: {link} #snapgoods,Unknown,No emotion toward brand or product,Unknown,neutral,micro usb charger for samsung android or kindle at starting 3 11 will pay 10 for 7 days link,#want #sxsw #snapgoods,
2412,The data crunch at #SXSW is crippling Google Voice. Back to regular texting we go...,Other Google product or service,Negative emotion,Google,negative,the data crunch at is crippling google voice back to regular texting we go,#sxsw,
2413,new product idea: pants with a built in iphone charging dock built into the pocket! #sxsw,iPhone,Positive emotion,Apple,positive,new product idea pants with a built in iphone charging dock built into the pocket,#sxsw,
2414,"True,expect more insidious approaches, like Apple subscriptions. RT @mention {link} . Disgraceful.  #libraries #sxsw",Apple,Negative emotion,Apple,negative,true expect more insidious approaches like apple subscriptions rt link disgraceful,#libraries #sxsw,@mention
2415,"#bjdproductions #Apple heads to #SXSW, sets up temporary store in Austin {link} #tech",Unknown,No emotion toward brand or product,Unknown,neutral,heads to sets up temporary store in austin link,#bjdproductions #apple #sxsw #tech,
2416,#bjdproductions #Apple Opening Pop-Up Store In Austin For #SXSW {link} #tech,Unknown,No emotion toward brand or product,Unknown,neutral,opening pop up store in austin for link,#bjdproductions #apple #sxsw #tech,
2417,#bjdproductions #Apple Opening Pop-Up Store in Austin for #SXSW Geekfest [Apple] {link} #tech,Unknown,No emotion toward brand or product,Unknown,neutral,opening pop up store in austin for geekfest apple link,#bjdproductions #apple #sxsw #tech,
2418,"#bjdproductions #Apple saves #SXSW, set to open pop-up store {link} #tech",Unknown,No emotion toward brand or product,Unknown,neutral,saves set to open pop up store link,#bjdproductions #apple #sxsw #tech,
2419,#bjdproductions #Lightbox_Photos Wants To Be Your New #Android Camera App (#SXSW) {link} #tech,Unknown,No emotion toward brand or product,Unknown,neutral,wants to be your new camera app link,#bjdproductions #lightbox_photos #android #sxsw #tech,
2422,#bjdproductions Google to launch new social network at #SXSW? {link} #tech,Unknown,No emotion toward brand or product,Unknown,neutral,google to launch new social network at link,#bjdproductions #sxsw #tech,
2423,{link} Security guard enjoying the iPad2 at the Apple Store in Austin... #sxsw,iPad,Positive emotion,Apple,positive,link security guard enjoying the ipad2 at the apple store in austin,#sxsw,
2424,Media Circus: Guy walks out of Apple's popup store at #SXSW with 1st #iPad2 now. In Austin at 6th &amp; Congress. {link},Unknown,No emotion toward brand or product,Unknown,neutral,media circus guy walks out of apple's popup store at with 1st now in austin at 6th amp congress link,#sxsw #ipad2,
2425,Sosososo cuteeeeee {link} #thingsthatdontgotogether Jalen Rose #sxsw iPad,Unknown,No emotion toward brand or product,Unknown,neutral,sosososo cuteeeeee link jalen rose ipad,#thingsthatdontgotogether #sxsw,
2426,Google's Cutts says reputation and topicality are the 2 keys that matter in site rankings. #qagb #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,google's cutts says reputation and topicality are the 2 keys that matter in site rankings,#qagb #sxsw,
2427,Unimitated - Fingerprint Security Scan - {link} #iTunes #ipad2 #1990style #SXSW,iPad,Positive emotion,Apple,positive,unimitated fingerprint security scan link,#itunes #ipad2 #1990style #sxsw,
2428,"#flipboard - when bldg app for AppStore, need wholistic mktg awareness, p.r. strategy to drive adoption Don't just rely on Apple. #rji #sxsw",Unknown,Negative emotion,Unknown,negative,when bldg app for appstore need wholistic mktg awareness p r strategy to drive adoption don't just rely on apple,#flipboard #rji #sxsw,
2429,What would #copyright look like if created today? w/ @mention CEO/Pres Floor64 Inc &amp; William Patry Sr Copyright counsel Google #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,what would look like if created today w ceo pres floor64 inc amp william patry sr copyright counsel google,#copyright #sxsw,@mention
2430,#Apple and #HP are 'popping in' for #SXSW; both setting up temp sites: {link} #Austin #Atx #Austinbusiness,Unknown,No emotion toward brand or product,Unknown,neutral,and are popping in for both setting up temp sites link,#apple #hp #sxsw #austin #atx #austinbusiness,
2431,Extra iPad 2 for sale in Austin convention center who wants one? {link},Unknown,No emotion toward brand or product,Unknown,neutral,extra ipad 2 for sale in austin convention center who wants one link,,
2432,#tech iPad 2 Gets Temporary #Apple_Store for #SXSW {link},iPad,Positive emotion,Apple,positive,ipad 2 gets temporary for link,#tech #apple_store #sxsw,
2433,"Also, iPad 2 ordered. Now I don't have to stand in line, wasting valuable fellowship time. #sxsw",iPad,Positive emotion,Apple,positive,also ipad 2 ordered now i don't have to stand in line wasting valuable fellowship time,#sxsw,
2434,"Discovered a new conversation icebreaker: &quot;Hey, is that the new iPad 2? Why yes it is...&quot; #SXSW #social",iPad,Positive emotion,Apple,positive,discovered a new conversation icebreaker quot hey is that the new ipad 2 why yes it is quot,#sxsw #social,
2435,I composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps. #twitterpower #sxsw #imthatgood,iPad,Negative emotion,Apple,negative,i composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps,#twitterpower #sxsw #imthatgood,
2436,"Google and ACLU are buddies?ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ",Unknown,No emotion toward brand or product,Unknown,neutral,google and aclu are buddies google to launch major new social network called circles possibly today link,#sxsw,@mention
2437,Wish I had an iPad right now. Lasts longer than the phone and not as awkward as the laptop. #SXSW,iPad,Positive emotion,Apple,positive,wish i had an ipad right now lasts longer than the phone and not as awkward as the laptop,#sxsw,
2438,That could be dangerous RT @mention Sweet...Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,Positive emotion,Apple,positive,that could be dangerous rt sweet apple listened to us a temp apple store near for ipad2 launch link,#sxsw,@mention
2439,that would be me (via @mention Apple's opened a pop-up store in Austin so the nerds @mention #SXSW can get new iPads. {link} #cnet,Unknown,No emotion toward brand or product,Unknown,neutral,that would be me via apple's opened a pop up store in austin so the nerds can get new ipads link,#sxsw #cnet,@mention @mention
2440,This could be the first big news out of #sxsw... {link}  Google building new social framework.,Unknown,Positive emotion,Unknown,positive,this could be the first big news out of link google building new social framework,#sxsw,
2441,Google and Bing meet at #SXSW after their lovers tiff last month but it seems to have been disappointingly friendly {link},Google,Negative emotion,Google,negative,google and bing meet at after their lovers tiff last month but it seems to have been disappointingly friendly link,#sxsw,
2442,Google and Bing page rank panel is ridiculously crowded. Is Al Franken or Justin Timberlake here? #sxsw {link},Google,Negative emotion,Google,negative,google and bing page rank panel is ridiculously crowded is al franken or justin timberlake here link,#sxsw,
2443,Google and Bing sitting on the same panel. They don't look like they want to punch each other in the face. Cc: @mention #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,google and bing sitting on the same panel they don't look like they want to punch each other in the face cc,#sxsw,@mention
2444,Unexpected bonus of waking up at 4am to make #SXSW flight: being up to order iPad 2 right as it's released,Unknown,Positive emotion,Unknown,positive,unexpected bonus of waking up at 4am to make flight being up to order ipad 2 right as it's released,#sxsw,
2445,"Surrounded by tats, piercings, live music, gadgets galore -- yep,  hipster heaven! #Google, #gsdm #welivehere #wepartyhere #sxsw",Unknown,No emotion toward brand or product,Unknown,neutral,surrounded by tats piercings live music gadgets galore yep hipster heaven,#google #gsdm #welivehere #wepartyhere #sxsw,
2446,&quot;iPad cleaner&quot; takes on two very different terms at #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,quot ipad cleaner quot takes on two very different terms at,#sxsw,
2447,Near Field Communication already here on android phones. #SXSW #bemyneighbor,Unknown,Positive emotion,Unknown,positive,near field communication already here on android phones,#sxsw #bemyneighbor,
2449,Major iPad design flaw: the SXSW Go iPad app. It doesn't stay open when you switch apps! #ipaddesignheadaches #sxsw,iPad or iPhone App,Negative emotion,Apple,negative,major ipad design flaw the sxsw go ipad app it doesn't stay open when you switch apps,#ipaddesignheadaches #sxsw,
2450,"&quot;iPad Design Headaches (2 Tablets, Call in the Morning)&quot; at #SXSW is packed!",Unknown,No emotion toward brand or product,Unknown,neutral,quot ipad design headaches 2 tablets call in the morning quot at is packed,#sxsw,
2451,I'm headed down to #SXSW to hear a talk on integrated social network dynamics and team synergy.  I've got my iPad ready to go.,iPad,Positive emotion,Apple,positive,i'm headed down to to hear a talk on integrated social network dynamics and team synergy i've got my ipad ready to go,#sxsw,
2452,"When bored during a keynote #sxsw, use your iPad to draw a picture - even if you are not a good artist!  {link} #sxswi",iPad,Positive emotion,Apple,positive,when bored during a keynote use your ipad to draw a picture even if you are not a good artist link,#sxsw #sxswi,
2453,SXSW Crowd Earns $10K for Charity by Playing a Game [PICS]: In an unusual keynote speech... {link} #News #sxsw #Cyber #iPhone,Unknown,No emotion toward brand or product,Unknown,neutral,sxsw crowd earns 10k for charity by playing a game pics in an unusual keynote speech link,#news #sxsw #cyber #iphone,
2454,Your brand focus? RT @mention 'Trust of Zappos + Likability of Virgin + Product of Apple' - recipe for success @mention #SXSW,Apple,Positive emotion,Apple,positive,your brand focus rt trust of zappos likability of virgin product of apple recipe for success,#sxsw,@mention @mention
2455,"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",Google,Positive emotion,Google,positive,when brand focuses on purpose not object they survive amp succeed google not search useful info nike not sneakers performance,#sxsw,
2456,Unexpected geekout moment of #sxsw so far: talked with the guys who are bringing the Traveller RPG to the iPhone.,iPad or iPhone App,Positive emotion,Apple,positive,unexpected geekout moment of so far talked with the guys who are bringing the traveller rpg to the iphone,#sxsw,
2457,Ladies and gentlemen - Mr. Street  RT @mention I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2.,Unknown,No emotion toward brand or product,Unknown,neutral,ladies and gentlemen mr street rt i've been having meetings while i'm in line at the popup apple store for the ipad2,#sxsw,@mention
2458,Only stood in line for 30 minutes to buy 2 iPads at the Apple pop-up store. #apple #sxsw #ipad #austin #fuckyeah,iPad,Positive emotion,Apple,positive,only stood in line for 30 minutes to buy 2 ipads at the apple pop up store,#apple #sxsw #ipad #austin #fuckyeah,
2459,"Sam licked it, so it's his! RT: @mention How I got an iPad 2 during #SXSW! {link} cc @mention",iPad,Positive emotion,Apple,positive,sam licked it so it's his rt how i got an ipad 2 during link cc,#sxsw,@mention @mention
2460,iPad 2 and Its Rivals: How They Stack Up {link} #bnet #biz #ipad2 #apple #sxsw #ipad #tablet #xoom #tech #laptop #pics #sale,Unknown,No emotion toward brand or product,Unknown,neutral,ipad 2 and its rivals how they stack up link,#bnet #biz #ipad2 #apple #sxsw #ipad #tablet #xoom #tech #laptop #pics #sale,
2461,"free #iPad Lounge open daily for #SXSW serving art made on iPads, and local art, free coffee, @mention Austin Details {link} #photo",Unknown,No emotion toward brand or product,Unknown,neutral,free lounge open daily for serving art made on ipads and local art free coffee austin details link,#ipad #sxsw #photo,@mention
2462,"Best Brand Marketing at #SXSW: GE @mention solar powered carousel, @mention Rock 'n Roll Trailer Park, Apple's iPad2 pop-up shop",Unknown,No emotion toward brand or product,Unknown,neutral,best brand marketing at ge solar powered carousel rock n roll trailer park apple's ipad2 pop up shop,#sxsw,@mention @mention
2464,Just found out new mapquest iPhone app has turn-by-turn gps for free... Time to check it out and get reacquainted with mq #sxsw,iPad or iPhone App,Positive emotion,Apple,positive,just found out new mapquest iphone app has turn by turn gps for free time to check it out and get reacquainted with mq,#sxsw,
2465,You should probably put that away... RT @mention at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,Negative emotion,Apple,negative,you should probably put that away rt at the android party and kinda embarrassed by my iphone,#sxsw,@mention
2466,"Aha! Found proof of lactation room, excuse me, &quot;Mother's Room,&quot; brought to you by Google, at last year's #SXSW. {link}",Unknown,No emotion toward brand or product,Unknown,neutral,aha found proof of lactation room excuse me quot mother's room quot brought to you by google at last year's link,#sxsw,
2467,makes good sense RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW,Apple,Positive emotion,Apple,positive,makes good sense rt apple set to open popup shop in core of sxsw action link via,#sxsw,@mention @mention
2468,UBER BRAND SMART: Gonna move a ton of iPad2 - #Apple opening a popup shop in Austin for #SxSW  {link} via@mention @mention,Unknown,Positive emotion,Unknown,positive,uber brand smart gonna move a ton of ipad2 opening a popup shop in austin for link via,#apple #sxsw,@mention @mention
2469,#localmind sounds awesome.. location based Q&amp;A could be incredibly useful. {link} #iphone #sxsw,iPhone,Positive emotion,Apple,positive,sounds awesome location based q amp a could be incredibly useful link,#localmind #iphone #sxsw,
2470,#sxsw ipad store sold out of everything except 64gig wifi only white,Unknown,No emotion toward brand or product,Unknown,neutral,ipad store sold out of everything except 64gig wifi only white,#sxsw,
2471,Just heard that Apple is opening a store in downtown Austin tomorrow to sell iPads to #SXSW attendees.,Apple,Positive emotion,Apple,positive,just heard that apple is opening a store in downtown austin tomorrow to sell ipads to attendees,#sxsw,
2473,Hah! Found the &quot;popup&quot; Apple store where the iPad 2 will be on sale 2moro - gold's gym at 6th and Congress:  {link} #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,hah found the quot popup quot apple store where the ipad 2 will be on sale 2moro gold's gym at 6th and congress link,#sxsw,
2474,Just saved the #sxsw 'I'm so productive I don't get anything done' with my iPad dongle. Get get'm #sxswbusy,Unknown,No emotion toward brand or product,Unknown,neutral,just saved the i'm so productive i don't get anything done with my ipad dongle get get'm,#sxsw #sxswbusy,
2475,Just found the back door into the #sxsw apple store. #ip2 ftw!,Unknown,No emotion toward brand or product,Unknown,neutral,just found the back door into the apple store ftw,#sxsw #ip2,
2476,Almost had the worst #sxsw FAIL... Left my iPhone on the kitchen counter. Realized it after 5 min of driving to the airport...,Unknown,No emotion toward brand or product,Unknown,neutral,almost had the worst fail left my iphone on the kitchen counter realized it after 5 min of driving to the airport,#sxsw,
2477,Don't need to charge at #sxsw if you're talking in the sun with your iphone: {link} boom!,iPhone,No emotion toward brand or product,Apple,neutral,don't need to charge at if you're talking in the sun with your iphone link boom,#sxsw,
2478,Interested to hear how it's different from Google Buzz. RT @mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :),Other Google product or service,Positive emotion,Google,positive,interested to hear how it's different from google buzz rt get ready for the word quot circles quot to be trending,#sxswi #sxsw,@mention
2479,I just had to read TV recaps online to keep up with my shows. I have 600 unread posts in Google Reader. I'm completely detached. #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,i just had to read tv recaps online to keep up with my shows i have 600 unread posts in google reader i'm completely detached,#sxsw,
2480,Interested to see what Google will have to show off when they unveil #Circles at #sxsw.,Unknown,No emotion toward brand or product,Unknown,neutral,interested to see what google will have to show off when they unveil at,#circles #sxsw,
